"","mean","sd","2.5%","97.5%","n_eff","Rhat4"
"a_Intercept[29]",0.00457740892704,0.025127934650657,-0.044930315,0.0701069175,563.203294568347,1.01264863227316
"a_Intercept[30]",-0.0009293077975675,0.023838496303507,-0.0509998475,0.049460825,2101.92087726976,0.999584274629374
"a_Intercept[31]",-0.00229405564955,0.0240663341231332,-0.05984234,0.05032271,2523.08397959975,1.00083443566489
"a_Intercept[32]",-0.00286016784903,0.0234801091909508,-0.0594646725,0.040920945,1653.13741927253,1.0040720393021
"a_Intercept[33]",0.000515677454065,0.0252265118086765,-0.0587992375,0.0572232774999999,3240.04094814565,1.00013986184147
"a_Intercept[34]",-0.001046540500755,0.0258699903579722,-0.0661517975,0.0547612725,2483.86200129639,0.999701298871674
"a_Intercept[35]",-0.001694339507,0.025631905914939,-0.0620515925,0.053786765,2665.85619673474,1.00003572810022
"a_Intercept[36]",-0.000776096657003,0.0259919453667242,-0.0590627125,0.0565693,3176.89635775331,0.999838357558159
"a_Intercept[37]",-0.001568230671996,0.0255201825855112,-0.0647193199999999,0.0515635175,1330.63858557936,1.00107661649954
"a_Intercept[38]",0.000377510257945,0.025823207390489,-0.055771925,0.0624489975,1866.54893322562,0.999581537698184
"a_Intercept[39]",0.00228180298365,0.0257924186582883,-0.05161621,0.0653326824999999,2739.82786863771,1.00038237434693
"a_Intercept[40]",0.0026835098067985,0.0261408030303089,-0.05428981,0.061073735,2966.10253655918,1.00119546501199
"a_Intercept[41]",0.000252374677965,0.0271920252935041,-0.0591039525,0.0608194375,3650.29057487433,0.998606281341037
"a_Intercept[42]",-0.0009708458568485,0.0244256348009588,-0.0620536375,0.051976605,2772.19787960213,1.00044313974723
"a_Intercept[43]",0.000867947612832,0.025122567165713,-0.0555818574999999,0.0589799425,2536.41933566922,0.999366694194599
"h_Intercept[1]",0.00615329755408,0.0221941110566903,-0.03684164,0.0612617125,215.734450352168,1.0230460898154
"h_Intercept[2]",-0.0039222334143,0.0229936507540945,-0.0591665375,0.0414140525,1831.14174033037,1.01105476131672
"h_Intercept[3]",0.0046969931127995,0.0226315336093963,-0.039081955,0.0635341174999999,303.386287355835,1.01857958668663
"h_Intercept[4]",-0.0060227649327545,0.023008218565591,-0.0629329125,0.0356023725,212.327032041352,1.02247373601895
"h_Intercept[5]",0.00084912264394,0.0209688856877219,-0.0482561625,0.0494997575,3234.35215591522,0.999117175523484
"h_Intercept[6]",0.00804858060595,0.0266026788996718,-0.037202265,0.0809681025,116.942953726813,1.03487318728341
"h_Intercept[7]",-0.0015818489389,0.0216627464717094,-0.05281103,0.044425855,2808.07065531687,1.00023542838924
"h_Intercept[8]",0.00073268155355,0.0212890124004726,-0.04664039,0.0477007525,4547.5797162517,0.999340080823766
"h_Intercept[9]",-0.0045709013541275,0.0252838142299126,-0.07138301,0.0435216475,515.315656733208,1.01042711800851
"h_Intercept[10]",-0.002356420521438,0.0233844785424348,-0.0582442725,0.0456819899999999,2373.48493113343,1.00587533975776
"h_Intercept[11]",0.01128190617373,0.0262961851265118,-0.0255722225,0.084042625,45.5325121506229,1.06174241886685
"h_Intercept[12]",-0.002865257990085,0.0228246406623417,-0.055777715,0.045697465,1992.65446499911,1.00323325938143
"h_Intercept[13]",-0.00651195305985,0.0254039586513805,-0.07504955,0.0427693575,232.949304281269,1.01893399238478
"h_Intercept[14]",0.008397991868345,0.0266002194196904,-0.0351699425,0.078609225,110.832810608883,1.03924122893765
"h_Intercept[15]",0.00593206563186,0.0231702063418059,-0.0326443925,0.0630652875,191.005417027333,1.02380761718672
"h_Intercept[16]",-0.000661266278775,0.0215674551750102,-0.04885095,0.0482606875,3436.79017587053,0.999863760257673
"h_Intercept[17]",0.002440179570075,0.0240881930406854,-0.0436017249999999,0.0611069899999999,2133.4535904239,1.00255302909888
"h_Intercept[18]",0.0064403227234665,0.0251192606717419,-0.03683611,0.0761129175,237.058835569391,1.02244555067391
"h_Intercept[19]",-0.0016331418066,0.0218241094966744,-0.0528335375,0.0428085449999999,3936.68498524655,1.00116755020166
"h_Intercept[20]",-0.0037508865214,0.0234541800354167,-0.0620044125,0.04017367,1242.85578334949,1.00789113056208
"h_Intercept[21]",0.0084372768162,0.0267159750585336,-0.03364494,0.08518717,117.545842766297,1.03383119055291
"h_Intercept[22]",-0.009330505248015,0.0254642879950728,-0.07951982,0.03164761,81.9549091688204,1.04316982344329
"h_Intercept[23]",-0.00552626702051,0.0247616673090572,-0.067421535,0.038358005,388.826085977347,1.01500962885792
"h_Intercept[24]",0.002583569496225,0.0226883189967157,-0.0429322425,0.0578596274999999,1049.23868773936,1.00389412136829
"h_Intercept[25]",-0.001451723159371,0.0234514204261555,-0.0557946674999999,0.0478575875,2267.72977346621,1.00067542549487
"h_Intercept[26]",-0.002638459649572,0.0233596344714064,-0.0565080025,0.0448131024999998,2786.50578965651,1.00268691456248
"h_Intercept[27]",-0.005069919826065,0.0236610864385025,-0.0667920874999999,0.0397409525,546.716578385391,1.01313717105254
"h_Intercept[28]",-0.009210116208965,0.025943096812773,-0.0791246925,0.0307792449999999,94.0058078093699,1.04513202819804
"h_Intercept[29]",-0.011453306225485,0.0259242950378939,-0.0845054075,0.02424483,45.9482274485786,1.07319383114887
"h_Intercept[30]",0.00417792060096,0.0243544832283355,-0.0430718675,0.065151055,694.272424053278,1.01067260203047
"h_Intercept[31]",0.00438366825142,0.0229061256668623,-0.0395830624999999,0.0625199624999999,494.345022462904,1.01631612624681
"h_Intercept[32]",0.00761783123769,0.024289343168248,-0.0314671475,0.0761761324999999,126.910327137895,1.03239441461654
"h_Intercept[33]",-0.00040444771726,0.0214992987317205,-0.04855396,0.0512886925,2758.50854113614,1.00009924489834
"h_Intercept[34]",0.004477153818485,0.0234665381071601,-0.0405118049999999,0.0651821649999999,654.060709689399,1.01384628138209
"h_Intercept[35]",0.00564205950075,0.0221078557092722,-0.0325865225,0.06318628,167.137174301886,1.02618533333709
"h_Intercept[36]",0.00098597034604,0.022261377342099,-0.04818209,0.0521520199999999,2350.79813844562,0.999141789909995
"h_Intercept[37]",0.002753242208505,0.0222948713073993,-0.0406585525,0.0595436875,1903.28355988594,1.00564852512639
"h_Intercept[38]",-0.0091765908101,0.0259500337610073,-0.0822117974999999,0.03240437,89.3540007660039,1.04190959772511
"h_Intercept[39]",-0.013518099542875,0.0272935805473793,-0.088581125,0.0200356575,30.9948544181059,1.09013088199661
"h_Intercept[40]",-0.005854016219479,0.024235603630934,-0.069538695,0.0391840925,323.145536066667,1.01741547067402
"h_Intercept[41]",0.003690764875985,0.0224426971816102,-0.0406571975,0.0583859975,831.42314353858,1.00889938152396
"h_Intercept[42]",0.01211972155376,0.0263467820321211,-0.0206401175,0.083066645,39.739592297639,1.08202793373865
"h_Intercept[43]",-0.0061397448265965,0.0240681592632511,-0.0676047425,0.03616757,312.973754165887,1.01743395764927
"sigma_ID",0.01921711301,0.0166638640837324,0.00150865325,0.05761336,5.70658527028468,1.42893086030963
"sigma",0.708091361,0.0348212331625714,0.64438185,0.78255835,253.480707785132,1.02270868621066
