Plate,Individual,Left,R,date,date of death,Measurement,Infection status,Batch,Exp_date,Sex,notes,date for notes
3,P3 14,,15,7/22/2022,7/13/2022,5,,2,07/08/22,M,,
3,P3 15,1,2,7/22/2022,,5,,2,07/08/22,M,,
1,P1 1,13,15,7/25/2022,,6,C,2,07/08/22,M,,
1,P1 2,0,2,7/25/2022,,6,,2,07/08/22,M,,
1,P1 3,,10,7/25/2022,7/15/2022,6,,2,07/08/22,M,,
1,P1 4,1,2,7/25/2022,,6,C,2,07/08/22,M,,
1,P1 5,9,10,7/25/2022,,6,,2,07/08/22,M,,
1,P1 6,23,25,7/25/2022,,6,,2,07/08/22,M,,
1,P1 7,1,3,7/25/2022,,6,C,2,07/08/22,M,,
1,P1 8,14,15,7/25/2022,,6,,2,07/08/22,M,,
1,P1 9,14,15,7/25/2022,,6,,2,07/08/22,M,,
1,P1 10,0,2,7/25/2022,,6,C,2,07/08/22,M,,
1,P1 11,8,10,7/25/2022,,6,,2,07/08/22,M,,
1,P1 12,0,2,7/25/2022,,6,,2,07/08/22,M,,
1,P1 13,1,3,7/25/2022,,6,C,2,07/08/22,M,,
1,P1 14,2,5,7/25/2022,,6,,2,07/08/22,M,,
1,P1 15,22,25,7/25/2022,,6,,2,07/08/22,M,,
2,P2 1,14,15,7/25/2022,,6,C,2,07/08/22,M,,
2,P2 2,1,2,7/25/2022,,6,,2,07/08/22,M,,
2,P2 3,8,10,7/25/2022,,6,,2,07/08/22,M,,
2,P2 4,,2,7/25/2022,7/18/2022,6,C,2,07/08/22,M,,
2,P2 5,8,10,7/25/2022,,6,,2,07/08/22,M,,
2,P2 6,22,25,7/25/2022,,6,,2,07/08/22,M,,
2,P2 7,2,3,7/25/2022,,6,C,2,07/08/22,M,,
2,P2 8,12,15,7/25/2022,,6,,2,07/08/22,M,,
2,P2 9,13,15,7/25/2022,,6,,2,07/08/22,M,,
2,P2 10,0,2,7/25/2022,,6,C,2,07/08/22,M,,
2,P2 11,8,10,7/25/2022,,6,,2,07/08/22,M,,
2,P2 12,0,2,7/25/2022,,6,,2,07/08/22,M,,
2,P2 13,1,3,7/25/2022,,6,C,2,07/08/22,M,,
2,P2 14,,5,7/25/2022,7/25/2022,6,,2,07/08/22,M,,
2,P2 15,22,25,7/25/2022,,6,,2,07/08/22,M,,
3,P3 1,12,15,7/25/2022,,6,C,2,07/08/22,M,,
3,P3 2,1,2,7/25/2022,,6,,2,07/08/22,M,,
3,P3 3,8,10,7/25/2022,,6,,2,07/08/22,M,,
3,P3 4,0,2,7/25/2022,,6,C,2,07/08/22,M,,
3,P3 5,9,10,7/25/2022,,6,,2,07/08/22,M,,
3,P3 6,22,25,7/25/2022,,6,,2,07/08/22,M,,
3,P3 7,2,3,7/25/2022,,6,C,2,07/08/22,M,,
3,P3 8,,15,7/25/2022,7/13/2022,6,,2,07/08/22,M,,
3,P3 9,12,15,7/25/2022,,6,,2,07/08/22,M,,
3,P3 10,1,2,7/25/2022,,6,C,2,07/08/22,M,,
