Plate,Individual,Left,R,date,date of death,Measurement,Infection status,Batch,Exp_date,Sex,notes,date for notes
2,P2 1,7,10,07/18/22,,3,C,2,07.08.2022,M,,
2,P2 2,23,25,07/18/22,,3,E-,2,07.08.2022,M,,
2,P2 3,4,5,07/18/22,,3,E-,2,07.08.2022,M,,
2,P2 4,,5,07/18/22,07/18/22,3,C,2,07.08.2022,M,,
2,P2 5,23,25,07/18/22,,3,E-,2,07.08.2022,M,,
2,P2 6,8,10,07/18/22,,3,E+,2,07.08.2022,M,,
2,P2 7,13,15,07/18/22,,3,C,2,07.08.2022,M,,
2,P2 8,0,3,07/18/22,,3,E+,2,07.08.2022,M,,
2,P2 9,2,5,07/18/22,,3,E-,2,07.08.2022,M,,
2,P2 10,22,25,07/18/22,,3,C,2,07.08.2022,M,,
2,P2 11,13,15,07/18/22,,3,E-,2,07.08.2022,M,,
2,P2 12,2,3,07/18/22,,3,E-,2,07.08.2022,M,,
2,P2 13,0,2,07/18/22,,3,C,2,07.08.2022,M,,
2,P2 14,23,25,07/18/22,,3,,2,07.08.2022,M,,
2,P2 15,2,3,07/18/22,,3,E+,2,07.08.2022,M,,
3,P3 1,8,10,07/18/22,,3,C,2,07.08.2022,M,,
3,P3 2,22,25,07/18/22,,3,E-,2,07.08.2022,M,,
3,P3 3,2,5,07/18/22,,3,E-,2,07.08.2022,M,,
3,P3 4,2,5,07/18/22,,3,C,2,07.08.2022,M,,
3,P3 5,22,25,07/18/22,,3,E-,2,07.08.2022,M,,
3,P3 6,9,10,07/18/22,,3,E-,2,07.08.2022,M,,
3,P3 7,14,15,07/18/22,,3,C,2,07.08.2022,M,,
3,P3 8,,3,07/18/22,07/13/22,3,,2,07.08.2022,M,,
3,P3 9,2,5,07/18/22,,3,E-,2,07.08.2022,M,,
3,P3 10,22,25,07/18/22,,3,C,2,07.08.2022,M,,
3,P3 11,13,15,07/18/22,,3,E+,2,07.08.2022,M,,
3,P3 12,2,3,07/18/22,,3,E-,2,07.08.2022,M,,
3,P3 13,1,2,07/18/22,,3,C,2,07.08.2022,M,,
3,P3 14,,25,07/18/22,07/13/22,3,,2,07.08.2022,M,,
3,P3 15,2,3,07/18/22,,3,E+,2,07.08.2022,M,,
1,P1 1,4,5,07/20/22,,4,C,2,07.08.2022,M,,
1,P1 2,2,3,07/20/22,,4,E+,2,07.08.2022,M,,
1,P1 3,,2,07/20/22,07/15/22,4,,2,07.08.2022,M,,
1,P1 4,8,10,07/20/22,,4,C,2,07.08.2022,M,,
1,P1 5,3,5,07/20/22,,4,E+,2,07.08.2022,M,,
1,P1 6,12,15,07/20/22,,4,E-,2,07.08.2022,M,,
1,P1 7,3,5,07/20/22,,4,C,2,07.08.2022,M,,
1,P1 8,3,5,07/20/22,,4,E-,2,07.08.2022,M,,
1,P1 9,1,3,07/20/22,,4,E+,2,07.08.2022,M,,
1,P1 10,12,15,07/20/22,,4,C,2,07.08.2022,M,,
1,P1 11,0,2,07/20/22,,4,E-,2,07.08.2022,M,,
1,P1 12,22,25,07/20/22,,4,E-,2,07.08.2022,M,,
1,P1 13,7,10,07/20/22,,4,C,2,07.08.2022,M,,
1,P1 14,9,10,07/20/22,,4,E+,2,07.08.2022,M,,
1,P1 15,2,5,07/20/22,,4,E-,2,07.08.2022,M,,
2,P2 1,3,5,07/20/22,,4,C,2,07.08.2022,M,,
2,P2 2,2,3,07/20/22,,4,E-,2,07.08.2022,M,,
2,P2 3,0,2,07/20/22,,4,E-,2,07.08.2022,M,,
2,P2 4,,10,07/20/22,07/18/22,4,C,2,07.08.2022,M,,
2,P2 5,3,5,07/20/22,,4,E-,2,07.08.2022,M,,
2,P2 6,12,15,07/20/22,,4,E+,2,07.08.2022,M,,
2,P2 7,2,5,07/20/22,,4,C,2,07.08.2022,M,,
2,P2 8,3,5,07/20/22,,4,E+,2,07.08.2022,M,,
2,P2 9,2,3,07/20/22,,4,E-,2,07.08.2022,M,,
